product_name,id,current_price,original_price,discount,discount_rate,short_description,rating_average,inventory_status,brand_name,product_link
Điện thoại bàn KX-TS500 hàng chính hãng,163914808,290000,290000,0,0,"Treo tường hoặc để bànĐiều chỉnh âm lượng, chuôngQuay số nhanhĐèn tín hiệuBảo hành 1 năm chính hãng Panasonic Giá bán đã thuế 10% VAT...",5.0,available,Panasonic,https://tiki.vn/product-p163914808.html?spid=163914810
Điện Thoại Nokia C01 Plus 2GB/16GB - Hàng Chính Hãng,119464777,1569000,1879000,310000,16,"Điện Thoại Nokia C01 Plus 2GB/16GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, cáp micro USB, sạc, tai nghe, ốp silicon, sách hướng dẫn sử dụng.Nokia vẫn luôn giữ vững phong độ trên thị trường s...",4.5,available,Nokia,https://tiki.vn/product-p119464777.html?spid=138826717
Điện Thoại Samsung A13 4GB/128GB - Hàng Chính Hãng,172309326,3709000,4690000,981000,21,"Điện Thoại Samsung A13 4GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, sạc, cáp dữ liệu, tài liệu hướng dẫn, dụng cụ lấy sim và lấy thẻ nhớ. Thiết Kế Tối Giản- Trang bị màn hình Full HD+...",4.8,available,Samsung,https://tiki.vn/product-p172309326.html?spid=172309328
Điện Thoại Để Bàn Panasonic KX-TS500MX - Hàng Chính Hãng,23865953,274000,274000,0,0,ĐIỆN THOẠI BÀN CÓ DÂY PANASONIC KX-TS500MX•Điều chỉnh âm lượng điện tử •Chức năng quay lại số vừa gọi •Giá treo tường • Có phím FLASH - Dùng để chuyển máy nội nộ•Kiểu chuông 3 cấp độ •Cài chế độ bậ...,4.8,available,Panasonic,https://tiki.vn/product-p23865953.html?spid=117785985
Điện thoại Xiaomi 11T (8GB/128GB) - Hàng chính hãng,127058581,10990000,10990000,0,0,"Vẻ ngoài tối giản, phù hợp với mọi đối tượngĐiện thoại Xiaomi 11T được hoàn thiện từ sự kết hợp hài hòa giữa khung kim loại và mặt lưng kính cường lực, không chỉ đẹp mà còn bền. Máy có trọng lượng 20...",4.8,available,Xiaomi,https://tiki.vn/product-p127058581.html?spid=127058583
"Điện thoại TECNO Spark 8C (3GB/64GB) - Pin 5000 mAh 6.6"" HD+ 90Hz - Hàng chính hãng",198587877,2210000,2480000,270000,11, Thông số kỹ thuậtCông nghệ Memory Fusion (Bộ Nhớ Hợp Nhất) được thiết kế để tận dụng bộ nhớ chỉ đọc (ROM) không được sử dụng và chuyển chúng cho các hoạt động của RAM. Một điệ...,4.5,available,Tecno,https://tiki.vn/product-p198587877.html?spid=195319304
"Apple iPad mini (6th Gen) Wi-Fi, 2021",184248127,12990000,14990000,2000000,13,iPad mini. Thiết kế màn hình toàn phần với màn hình Liquid Retina 8.3 inch.1 Chip A15 Bionic mạnh mẽ với Neural Engine. Camera trước Ultra Wide 12MP với tính năng Trung Tâm Màn Hình. Cổng kết nối USB-...,5.0,available,Apple,https://tiki.vn/product-p184248127.html?spid=124944089
Điện Thoại Nokia C21 Plus (3GB/32GB) - Hàng Chính Hãng,179930699,2350000,2890000,540000,19,"Hiệu năng ổn định, bảo mật 2 nămĐiện Thoại Nokia C21 Plus được trang bị bộ vi xử lý Unisoc SC9863A tám lõi với tốc độ xung nhịp 1.6 GHz, đi cùng RAM 3 GB và bộ nhớ trong 64 GB, có một khe cắm thẻ nhớ...",5.0,available,Nokia,https://tiki.vn/product-p179930699.html?spid=179930701
Điện thoại Samsung Galaxy S22 Ultra 5G (12GB/256GB) - Hàng Chính Hãng,162593136,26990000,33990000,7000000,21, ...,0.0,available,Samsung,https://tiki.vn/product-p162593136.html?spid=170728628
Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,125182567,3730000,3990000,260000,7,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,5.0,available,Kindle,https://tiki.vn/product-p125182567.html?spid=127461186
Điện thoại Samsung Galaxy A04s (4GB/64GB) - Hàng chính hãng,197670818,3590000,3990000,400000,10,"Dung lượng pin lớn 5000mAh, Galaxy A04s đáp ứng đầy đủ nhu cầu giải trí liền mạch, kéo dài thời gian sử dụng lên đến 2 ngày.Sở hữu Công nghệ Sạc Nhanh 15W (*) (an toàn cho thiết bị), giúp bạn bắt nhịp...",4.0,available,Samsung,https://tiki.vn/product-p197670818.html?spid=197670820
"ĐIỆN THOẠI TÂN CỔ ĐIỂN DT4  bàn phím quay , dùng cáp điện thoại cố định nghe gọi âm thanh rõ ràng (điện thoại bàn tân cổ điển)",70839193,1890000,2100000,210000,10,"Kích thước : 26 x 18 x 21 cmChất liệu: Composite mạ đồngĐiện thoại dùng lắp như điện thoại bàn cho khách hàng lựa chọnHộp đóng mở bàn phím gọn gàng, chuông thanh bàn phím quay, nghe gọi rõ ràngKiểu Dá...",1.0,available,OEM,https://tiki.vn/product-p70839193.html?spid=70839194
Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - 8Gb và Bao da - Hàng nhập khẩu,161964615,3730000,3990000,260000,7,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,5.0,available,Kindle,https://tiki.vn/product-p161964615.html?spid=161964617
Điện Thoại Nokia 215 4G - Hàng Chính Hãng,72882726,849000,900000,51000,6,"Thiết kế đơn giản, gọn nhẹĐiện Thoại Nokia 215 4G sử dụng chất liệu nhựa cho kiểu dáng bền bỉ, các nút cảm ứng mềm lớn, cạnh dễ cầm và mặt lưng cong được thiết kế để vừa vặn hoàn toàn trong tay b...",4.5,available,Nokia,https://tiki.vn/product-p72882726.html?spid=77775162
Điện Thoại Samsung Galaxy M12 (3GB/32GB) - Hàng Chính Hãng,89888994,2849000,3490000,641000,18,"Cấu hình mạnh mẽ với vi xử lý 8 nhân tối ưu và tần số quét 90HzĐiện Thoại Samsung Galaxy M12 với tần số quét màn hình 90Hz, lớn bậc nhất phân khúc, hiển thị mượt mà mọi chuyển động dù là nhỏ nhất trê...",4.8,available,Samsung,https://tiki.vn/product-p89888994.html?spid=146648973
Điện Thoại Thông Minh Xiaomi Poco F3 8GB l 256GB - Hàng Chính Hãng,99862142,9990000,9990000,0,0,"Sở hữu sức mạnh “vô đối” đến từ CPU của nhà Qualcomm, Xiaomi POCO F3 mang đến người dùng cơ hội trải nghiệm hiệu năng của flagship hàng đầu trong mức giá tầm trung, một “món hời” mà các tín đồ “hệ gam...",4.7,available,Xiaomi,https://tiki.vn/product-p99862142.html?spid=107535103
